ghi_10min,air_temp,
3.08,2.9,1
2.04,2.62,1
12.74,2.6,1
42.23,3.1,1
71.16,3.42,1
102.6,4.5,1
128,5.4,1
153.9,6.32,1
183.9,7.82,1
197.9,9.12,1
239.7,9.66,1
269.4,10.5,1
271,10.9,1
271.3,11.4,1
273.9,11.4,1
358.2,12.2,1
344.7,12.64,1
345.4,12.8,1
407,12.8,1
418.6,13.34,1
414.6,14,1
414.7,14.5,1
443.1,15.34,1
461.5,15.74,1
468.8,16.44,1
472.2,16.5,1
477.2,17,1
481.8,16.7,1
475.2,16.6,1
484,16.88,1
483,17.1,1
485.5,17.5,1
476.5,17.6,1
480.4,17.66,1
479,17.92,1
439.4,18.16,1
439.4,18.1,1
436.9,17.8,1
432.5,17.9,1
399.1,17.9,1
409.9,18,1
355.3,18.1,1
304.5,18,1
320.2,18.2,1
323.5,18,1
195,18.1,1
265.7,18,1
270.9,18.18,1
252.8,18.2,1
226.9,18.1,1
186.4,18.1,1
142.7,18,1
60.03,17.7,1
53.43,17.36,1
25.62,17.06,1
24.1,16.98,1
11.5,16.8,1
3.11,16.34,1
4.77,5.8,1
6.29,5.98,1
31.68,6.48,1
58.49,6.7,1
88.8,6.7,1
115.4,7.18,1
138.8,8.14,1
165.2,9.22,1
191.9,9.18,1
217.4,9.88,1
242.1,11,1
265.5,12.6,1
287.9,13.34,1
309.8,13.3,1
329.8,13.42,1
350.4,14.16,1
368.3,14.28,1
386.3,13.98,1
402.5,14.1,1
417.3,14.3,1
430.9,14.78,1
443.3,15.3,1
452.9,15.4,1
461.8,15.66,1
469,15.94,1
474.5,16.1,1
478.8,16.18,1
481.5,16.6,1
482.8,16.9,1
482.2,17.18,1
479.8,17.4,1
475.9,17.6,1
471.2,17.88,1
464.7,17.94,1
456.2,18.08,1
447.4,18.2,1
436.7,18.26,1
423.4,18.5,1
408.9,18.6,1
393.5,18.7,1
376.9,18.9,1
359.9,19.04,1
339.9,19,1
319.8,19.02,1
297.3,18.9,1
275.5,18.92,1
252.1,18.7,1
227.7,18.7,1
205.8,18.6,1
178.9,18.6,1
153.6,18.5,1
140.6,18.3,1
122.3,18.1,1
39.25,17.8,1
23.54,17.5,1
30.4,17.3,1
7.1,16.9,1
3.08,4.6,1
2.45,4.36,1
17.58,4.6,1
48.35,5.26,1
77.35,5.5,1
109.4,5.82,1
131.2,6.7,1
159.7,7.68,1
184.7,8.9,1
210,9.2,1
234.3,9.1,1
259,9.3,1
280.9,9.7,1
305.2,10,1
327.6,10.3,1
348.4,10.7,1
369,11.02,1
388,11.54,1
405.1,12.3,1
421.2,12.8,1
434.2,12.92,1
446.1,13.36,1
459.3,13.3,1
470.2,13.46,1
479.3,13.7,1
485.7,13.3,1
493.5,13.56,1
