ghi,air_temp,,
3.08,2.9,1,1
128,5.4,2,1
271,10.9,3,1
407,12.8,4,1
468.8,16.44,5,1
483,17.1,6,1
439.4,18.1,7,1
304.5,18,8,1
252.8,18.2,9,1
25.62,17.06,10,1
31.68,6.48,11,1
191.9,9.18,12,1
329.8,13.42,13,1
430.9,14.78,14,1
478.8,16.18,15,1
471.2,17.88,16,1
408.9,18.6,17,1
297.3,18.9,18,1
153.6,18.5,19,1
7.1,16.9,20,1
109.4,5.82,21,1
259,9.3,22,1
388,11.54,23,1
470.2,13.46,24,1
500.7,14.5,25,1
471.4,15.7,26,1
385.5,16.26,27,1
255.8,17.5,28,1
108.6,17.2,29,1
6.21,3.9,30,1
161.3,6.2,31,1
308.9,11.3,32,1
420.9,13.12,33,1
479.5,15.3,34,1
484.4,16.8,35,1
427.9,17.92,36,1
323.9,18.5,37,1
187.6,18.4,38,1
32.23,16.9,39,1
36.19,5.9,40,1
120.3,6.9,41,1
231,9.5,42,1
195.4,12.66,43,1
209.9,14.3,44,1
160.4,14.8,45,1
200.3,15.5,46,1
323.4,16.84,47,1
70.06,15.5,48,1
1.23,5.28,49,1
72.3,4.84,50,1
61.87,7.8,51,1
374.7,9.54,52,1
413.7,14,53,1
358.2,16,54,1
445.2,17.04,55,1
398.1,17.88,56,1
238.6,17.6,57,1
54.87,16.5,58,1
14.69,8.9,59,1
169,9.7,60,1
311.6,11.3,61,1
229,10.74,62,1
210.5,11.2,63,1
185.9,12.5,64,1
373.3,12.5,65,1
267.6,13.4,66,1
198,13.78,67,1
36.99,11.2,68,1
27.98,7.7,69,1
157.4,10,70,1
429.9,12.04,71,1
208.1,12,72,1
220.8,11.5,73,1
484,14.36,74,1
390.6,15,75,1
142.2,15.78,76,1
63.73,15,77,1
2.21,3.1,78,1
113,4.7,79,1
268.8,9.36,80,1
368.8,10.96,81,1
465.3,13.62,82,1
469.5,14.54,83,1
444.4,15.62,84,1
327,15.7,85,1
249.8,15.9,86,1
77.34,15.4,87,1
7.82,8.4,88,1
52.68,10.6,89,1
106.1,11,90,1
53.09,11.1,91,1
65.38,11.8,92,1
68.15,11.8,93,1
73.59,11.5,94,1
121.4,11.3,95,1
22.72,11.4,96,1
30,11.62,97,1
38.22,5.4,98,1
233.8,6.7,99,1
370.4,8.5,100,1
505.4,10.6,101,1
519.1,11.5,102,1
502.8,12.7,103,1
434,13.7,104,1
314.8,14.1,105,1
166.1,14.7,106,1
7.87,13.9,107,1
106.5,3.9,108,1
265.3,8.1,109,1
399.2,12.6,110,1
485.5,15,111,1
518.8,16,112,1
494,16.42,113,1
413.9,17.6,114,1
282.3,17.5,115,1
155.3,16.56,116,1
4.67,2.5,117,1
141.3,5.5,118,1
299.3,10.64,119,1
427,13.64,120,1
497.9,15.1,121,1
520,16.1,122,1
481.2,17.74,123,1
386,18.08,124,1
249,18.5,125,1
74.53,17.4,126,1
11.74,5.1,127,1
175.1,7.4,128,1
328.3,12.6,129,1
445.3,14.7,130,1
510.7,16.5,131,1
520,18.3,132,1
465.9,19.1,133,1
366.8,20.2,134,1
220.5,20.54,135,1
38.56,19.22,136,1
41.64,5.1,137,1
219.3,7.58,138,1
371.1,12.52,139,1
478,16.3,140,1
536.5,18.98,141,1
531.9,19.3,142,1
473.4,20.74,143,1
352.3,21.5,144,1
199.4,20.9,145,1
28.26,18.74,146,1
79.37,6.4,147,1
251,10,148,1
394,14.9,149,1
494.6,16.7,150,1
540.9,19.14,151,1
525.5,19.9,152,1
457.9,20.6,153,1
336.9,21.1,154,1
173.9,20.6,155,1
10.24,18.7,156,1
107.3,4.14,157,1
271.5,10.64,158,1
413.1,15.76,159,1
505.3,18.78,160,1
544.4,21.1,161,1
520.6,20.4,162,1
445.1,20.38,163,1
315.9,20.34,164,1
157.7,20.3,165,1
5.73,17.36,166,1
126.9,5.5,167,1
286.2,10.66,168,1
425.2,14.5,169,1
513.7,17.6,170,1
547,18.98,171,1
516.9,20,172,1
435,21.1,173,1
305.3,21.3,174,1
148.4,20.22,175,1
3.13,4.44,176,1
156.2,5.06,177,1
315.8,11.44,178,1
447.9,15.2,179,1
536.4,17.86,180,1
567.9,19.54,181,1
542.9,19.7,182,1
434.8,20.96,183,1
297.4,21.44,184,1
157.8,20.8,185,1
5.49,2.64,186,1
159.8,6.06,187,1
349.3,10.68,188,1
377.4,14.04,189,1
468.2,17.2,190,1
571,18.4,191,1
528.4,18.7,192,1
427.7,19.9,193,1
295.8,19.8,194,1
137,19.8,195,1
5.13,2.6,196,1
162,5.94,197,1
323.1,12.4,198,1
449.7,14.24,199,1
528.5,16.22,200,1
549.8,17.5,201,1
509.7,18.66,202,1
419.7,19.06,203,1
277.3,18.94,204,1
120.5,18.48,205,1
2.27,3.28,206,1
140.7,4.82,207,1
304.3,11.06,208,1
435.2,13.5,209,1
518.5,16.92,210,1
549,19.36,211,1
508.1,19.8,212,1
421.2,21.1,213,1
275.3,21.4,214,1
118.4,20.36,215,1
6,11.5,216,1
148.5,12.2,217,1
310.2,17.16,218,1
434,22.16,219,1
517.8,24.5,220,1
541.6,25.18,221,1
373.3,24.2,222,1
425.6,26.22,223,1
289.4,25.7,224,1
131.5,24.5,225,1
1.39,7.54,226,1
80.3,8.9,227,1
388.5,13.34,228,1
442.3,16.08,229,1
526.5,18.8,230,1
556,20,231,1
530.3,21.5,232,1
439.5,22.8,233,1
307.9,23.1,234,1
147.3,22.5,235,1
1.3,20,236,1
69.46,8.02,237,1
109.9,8.76,238,1
166.6,11.4,239,1
215.7,13.7,240,1
205.6,15.5,241,1
188.6,14.9,242,1
285.7,16.34,243,1
306.2,18.5,244,1
167.1,18.1,245,1
7.66,16.2,246,1
47.14,6.2,247,1
264.1,10.86,248,1
220.3,13.9,249,1
292.8,15.3,250,1
576.1,18.34,251,1
561.8,17.62,252,1
314.2,18.8,253,1
245,18.5,254,1
48.87,17.4,255,1
10.76,16.3,256,1
60.2,11.3,257,1
190.1,13.2,258,1
216.6,16,259,1
282,16.1,260,1
441.6,17.3,261,1
447.6,19.44,262,1
301.3,20.1,263,1
270.4,20.2,264,1
97.9,19.5,265,1
19.47,19.1,266,1
4.92,12.9,267,1
29.66,13.5,268,1
51.9,14,269,1
42.7,14.5,270,1
38.55,14.9,271,1
41.63,15.3,272,1
50,15.2,273,1
32.73,14.9,274,1
13.39,14.9,275,1
7.62,14.8,276,1
13.98,0.94,277,1
207.7,4.72,278,1
380.9,8.16,279,1
513.6,10.78,280,1
592.7,11.7,281,1
445.3,12.86,282,1
429.2,12.9,283,1
431.1,13.4,284,1
183,12.5,285,1
95,11.7,286,1
2.02,10.9,287,1
36.01,7.1,288,1
87.7,7.8,289,1
230.4,9.1,290,1
226.6,9.2,291,1
259.8,9.96,292,1
172.8,10.4,293,1
132.8,10.66,294,1
134.2,10.4,295,1
53.13,9.5,296,1
28.31,9.7,297,1
7.18,8.6,298,1
43.11,9,299,1
74.24,9.6,300,1
69.61,9.7,301,1
118.4,9.5,302,1
106.8,10.1,303,1
43.15,10.3,304,1
25.53,9.9,305,1
41.21,10,306,1
11.37,9.6,307,1
0.26,9.1,308,1
14.72,10.9,309,1
34.87,11.3,310,1
82.1,11.94,311,1
67.26,12.28,312,1
193.9,12,313,1
89.9,11.9,314,1
34.29,11.7,315,1
43.86,12.06,316,1
8.34,12.2,317,1
2.95,12.5,318,1
5.08,12.6,319,1
29.38,12.62,320,1
55.69,12.76,321,1
73.91,13.1,322,1
49.23,13.1,323,1
70.93,13,324,1
59.77,13.1,325,1
77.72,13.5,326,1
32.22,13.52,327,1
58.23,13.7,328,1
0.2,12,329,1
45.1,12.2,330,1
154.1,12.8,331,1
180.5,13.9,332,1
283.7,14.48,333,1
254.7,15.8,334,1
259.8,15.36,335,1
206.1,15.6,336,1
565.1,16.3,337,1
236.1,17.2,338,1
67.01,16,339,1
8.97,6.8,340,1
145.4,8.14,341,1
397.2,11.92,342,1
502.8,15,343,1
620.4,16.48,344,1
687.2,18.42,345,1
556.1,18.7,346,1
501.2,19.16,347,1
271.5,18.5,348,1
86.7,17,349,1
15.64,15.86,350,1
79.24,9.8,351,1
253.6,12.02,352,1
307.5,13.6,353,1
566.4,15.3,354,1
454,17.66,355,1
461.4,17.62,356,1
262.1,18.46,357,1
448.1,19.04,358,1
186.5,18.18,359,1
73.99,17.1,360,1
1.74,10.68,361,1
153.3,11.7,362,1
211.4,13,363,1
173.8,14.64,364,1
470.6,16.14,365,1
111.6,15.5,366,1
694.1,16.6,367,1
130.4,16.7,368,1
480.2,17.24,369,1
323.7,17.46,370,1
141,16.64,371,1
6.76,5.28,372,1
112.9,6,373,1
338,9.04,374,1
434.9,11.6,375,1
388.9,12.5,376,1
434.1,14.28,377,1
762.7,16.64,378,1
684.8,18.32,379,1
516.9,18.8,380,1
329.6,19.3,381,1
138,18.5,382,1
4.62,4,383,1
164.5,6.72,384,1
355.6,10.98,385,1
510.9,13.96,386,1
623.7,16.26,387,1
690.1,18.1,388,1
675.7,19.9,389,1
611.7,20.1,390,1
495,20.6,391,1
339.3,20.3,392,1
152.3,19.7,393,1
3.08,7.4,394,1
150.9,7.72,395,1
342.4,12.8,396,1
511.5,16.4,397,1
582.2,17.5,398,1
654.3,18.62,399,1
696.7,19.98,400,1
632.5,21.14,401,1
515,21.4,402,1
355.4,21.66,403,1
172.1,21,404,1
3.85,19.58,405,1
136,8.66,406,1
330.4,13.36,407,1
497.7,16.3,408,1
621.4,18.66,409,1
689,20.1,410,1
697.2,21.2,411,1
647.8,21.6,412,1
537.8,21.84,413,1
382.8,22.5,414,1
198.3,21.82,415,1
10.47,20.4,416,1
112.1,6.46,417,1
300.7,11.82,418,1
470.8,16.12,419,1
600.7,19,420,1
645.9,21,421,1
700.4,22.1,422,1
661.7,22.4,423,1
563.4,23.74,424,1
416,23.08,425,1
230.9,23.52,426,1
41.15,21.9,427,1
73.31,8.9,428,1
263.7,11.84,429,1
443.8,16.12,430,1
584.5,19.28,431,1
670.4,20.74,432,1
694.8,22.14,433,1
670.5,22.98,434,1
588.9,24.04,435,1
373.4,24.4,436,1
259.1,22.5,437,1
43.55,21.36,438,1
22.84,11.7,439,1
45.87,13,440,1
77.84,13.2,441,1
75.77,13.08,442,1
93.5,13,443,1
177.2,13.5,444,1
689.7,16.4,445,1
209.2,17.5,446,1
147.4,17.4,447,1
68.85,17.3,448,1
8.5,15.4,449,1
11.2,11.2,450,1
42.21,11.5,451,1
223.8,12.36,452,1
176.1,13,453,1
276.5,13.48,454,1
696.2,12.72,455,1
149.6,13.16,456,1
258,16,457,1
528.3,17.52,458,1
314.6,17.66,459,1
78.62,16.5,460,1
0.5,15,461,1
7.59,10.9,462,1
27.69,11.28,463,1
30.13,11.88,464,1
72.35,12,465,1
86.6,11.5,466,1
10.61,10.7,467,1
48.28,11.9,468,1
8.92,11.5,469,1
47.73,11.44,470,1
15.02,11.9,471,1
15.3,12.1,472,1
40.97,12.6,473,1
121.3,13.8,474,1
119.8,14.4,475,1
178.3,15.4,476,1
184.4,16.6,477,1
813,19.74,478,1
722.5,20.14,479,1
688.8,20.1,480,1
164.9,19.12,481,1
375,18.34,482,1
94,16.5,483,1
14.9,11.7,484,1
57.91,13.06,485,1
80,14.04,486,1
91.2,15,487,1
238.2,16.1,488,1
207.4,16.3,489,1
113.2,13.9,490,1
126.8,13.9,491,1
99.3,15.1,492,1
39.68,13.2,493,1
14.71,12.7,494,1
1.47,12.7,495,1
61.71,10.5,496,1
103.7,11.7,497,1
177.5,13.1,498,1
179.2,14.2,499,1
350.7,15.16,500,1
180.7,15.2,501,1
98.3,14.8,502,1
49.71,13.9,503,1
82.9,13.88,504,1
35.32,13.6,505,1
6.52,13.3,506,1
23.63,11.7,507,1
98.2,12.4,508,1
417.9,14.4,509,1
520,17.28,510,1
676.1,18.9,511,1
440.8,18.5,512,1
564.6,17.6,513,1
607.3,18.5,514,1
245,17.6,515,1
181,16.6,516,1
68.07,16.22,517,1
1.38,13.1,518,1
66.07,13.3,519,1
197,14.4,520,1
285.3,16.7,521,1
333.8,17.38,522,1
468.9,19.2,523,1
247.9,19.26,524,1
342.1,20.06,525,1
258.1,19.7,526,1
146.4,19.4,527,1
97.2,19.1,528,1
19.58,18.6,529,1
24.22,12.9,530,1
115.1,13.2,531,1
169.8,14.64,532,1
627.3,16.52,533,1
748.9,17.4,534,1
757.9,18.94,535,1
288.5,20.1,536,1
670.1,20.9,537,1
238.5,19.5,538,1
155.6,18.6,539,1
165.4,18.3,540,1
1.17,16.4,541,1
150.8,8.66,542,1
349.4,10.7,543,1
